Nombre,Fecha,Empleado_ID
Yeah,2024-08-22,21
Appear,2022-11-01,42
Notice,2020-01-06,19
Information,2022-08-08,44
World,2020-06-24,14
Apply,2020-06-03,8
Him,2021-04-06,44
Learn,2022-06-09,31
Less,2023-12-20,31
Success,2024-05-30,6
Long,2020-08-31,5
Employee,2023-02-16,50
Reflect,2020-09-04,7
Computer,2021-11-25,48
Bit,2022-05-07,12
Natural,2020-04-11,45
Behind,2024-02-02,32
Room,2021-06-11,27
Air,2023-03-15,45
Decision,2021-04-06,13
Kid,2024-06-14,9
Serve,2024-10-19,23
Operation,2023-05-15,23
Move,2024-12-15,47
Young,2021-05-16,3
Throughout,2025-01-09,43
Particularly,2024-07-08,4
Energy,2022-02-10,21
Without,2021-03-16,45
Eye,2024-04-01,36
Against,2021-04-04,28
Center,2024-05-20,9
Dog,2021-11-13,4
The,2021-08-11,36
Who,2022-05-29,35
Ten,2020-11-18,14
Father,2021-02-26,5
Crime,2021-12-26,18
Yet,2021-11-14,37
Reduce,2020-12-23,38
Section,2021-01-02,26
Feeling,2024-02-18,16
Walk,2024-09-08,6
Return,2024-02-26,17
Gun,2023-02-08,24
Must,2021-12-29,42
Into,2024-01-18,33
Such,2021-01-29,29
Edge,2024-12-21,18
Hotel,2020-01-18,39
