Tipo,Monto,Fecha,Descripcion
Marketing,6296.12,2024-04-09,Require almost development different.
Operativos,3306.38,2021-05-26,Enjoy window example color.
Impuestos,5551.48,2024-08-23,View seven test general star yeah.
Operativos,6677.53,2020-05-18,Development better cup same require.
Servicios,5416.66,2022-02-22,Let speech always toward wonder.
Impuestos,6614.5,2023-06-14,Arrive difficult social pass.
Impuestos,5856.51,2023-05-02,Fear which ever yes amount.
Impuestos,6852.73,2023-08-07,Reflect weight most character.
Marketing,5304.52,2023-10-07,Cold mission music suffer source home wide.
Servicios,6426.6,2024-01-10,Account site need subject stop lot including.
Impuestos,8595.89,2020-11-25,American five responsibility whether could customer today.
Servicios,726.07,2021-08-26,Exist simple hot southern.
Impuestos,1820.59,2021-11-11,Manager job risk test.
Impuestos,3153.09,2023-11-30,Quality plan our he lead dark recognize scientist.
Servicios,5913.19,2024-11-08,Citizen answer anything after land identify task.
Operativos,4828.62,2022-02-15,Traditional article collection event husband every company some.
Impuestos,3377.54,2020-02-27,Safe know well more decade artist.
Marketing,2413.94,2021-07-11,Fact fund month wide career your southern.
Impuestos,5521.83,2024-11-27,Growth by however discover form amount.
Operativos,9351.53,2022-03-06,Condition child however former.
Impuestos,3165.58,2023-04-20,Place politics first television.
Operativos,1276.68,2020-01-20,Design recent season admit may.
Marketing,8281.1,2024-12-22,Doctor life manage guy.
Operativos,5514.3,2020-10-15,Per wife discussion of customer road.
Marketing,5134.89,2025-01-24,Movement admit particular but many local set candidate.
Impuestos,8992.33,2020-11-03,Agent across I must win couple can look.
Operativos,1308.84,2022-08-18,Difficult hit police either two.
Servicios,6916.18,2024-09-14,Minute itself enjoy fill.
Servicios,4107.2,2020-07-15,Amount especially that sign.
Operativos,1496.3,2022-12-13,Party year major fly how show.
Servicios,2872.33,2020-10-14,Base goal let wall control.
Operativos,5088.91,2024-11-11,Live thought usually carry defense society throw.
Servicios,1188.28,2022-06-10,Hundred bed lot every must leg Congress.
Impuestos,506.55,2024-01-20,Sit present throughout skill measure already.
Marketing,6455.54,2024-05-04,Near push which.
Operativos,1622.85,2023-11-16,Her consumer piece institution body away continue foreign.
Servicios,3633.9,2022-12-07,Main election whole realize but pressure shoulder.
Operativos,636.99,2023-05-09,Small they perform theory.
Impuestos,6836.32,2021-03-28,Walk mean newspaper building ask question.
Servicios,486.43,2023-04-17,Study reduce believe eight heart.
Servicios,9541.52,2021-12-09,Building three security cause off enjoy.
Impuestos,534.58,2022-05-30,Market modern officer area international base.
Impuestos,8845.95,2022-08-06,About get the pick his produce toward stop.
Servicios,4771.01,2020-05-05,Shake read on however country picture.
Marketing,6504.18,2020-12-07,Pick together order model condition marriage.
Operativos,2825.37,2024-06-05,Computer though not would not speech bank.
Servicios,8894.03,2021-02-01,Five catch type indeed.
Servicios,3821.48,2021-02-11,Her successful industry example blood call medical.
Servicios,1238.71,2025-01-18,Wrong evening direction expert think make.
Operativos,998.1,2020-02-28,Though yourself over price off.
